scene,status,protocol_kind,metric_mask_mode,eval_camera_ids,output_json,overall_mean_psnr,overall_mean_ssim,overall_mean_ssim_x100,overall_mean_lpips,overall_mean_mpsnr,overall_mean_mssim,overall_mean_mssim_x100,overall_mean_mlpips,overall_mean_covisible_coverage,error
apple,ok,held_out_novel_view,both,2,out/dycheck/apple/dycheck_metrics_both.json,5.826693058013916,0.03596840053796768,3.596840053796768,0.7191895246505737,6.87129020690918,0.024808421730995178,2.480842173099518,0.7041175365447998,0.3288421332836151,
backpack,ok,same_view_reconstruction,none,0,out/dycheck/backpack/dycheck_metrics_same_view.json,17.911718368530273,0.41095229983329773,41.09522998332977,0.3527589738368988,,,,,,
block,ok,held_out_novel_view,both,1 2,out/dycheck/block/dycheck_metrics_both.json,9.565197944641113,0.4021599143743515,40.21599143743515,0.6411885023117065,9.729629516601562,0.4097985476255417,40.97985476255417,0.5971176326274872,0.8323896527290344,
creeper,ok,same_view_reconstruction,none,0,out/dycheck/creeper/dycheck_metrics_same_view.json,14.646391868591309,0.27248042821884155,27.248042821884155,0.3933909237384796,,,,,,
handwavy,ok,same_view_reconstruction,none,0,out/dycheck/handwavy/dycheck_metrics_same_view.json,19.16819953918457,0.6157727241516113,61.57727241516113,0.35587430000305176,,,,,,
haru-sit,ok,same_view_reconstruction,none,0,out/dycheck/haru-sit/dycheck_metrics_same_view.json,13.532439231872559,0.6303430795669556,63.03430795669556,0.4266652762889862,,,,,,
mochi-high-five,ok,same_view_reconstruction,none,0,out/dycheck/mochi-high-five/dycheck_metrics_same_view.json,19.910682678222656,0.7481105327606201,74.81105327606201,0.3349801301956177,,,,,,
paper-windmill,ok,held_out_novel_view,both,1 2,out/dycheck/paper-windmill/dycheck_metrics_both.json,11.319334030151367,0.23635724186897278,23.635724186897278,0.5454911291599274,11.325593948364258,0.23436462879180908,23.436462879180908,0.54402956366539,0.9990225434303284,
pillow,ok,same_view_reconstruction,none,0,out/dycheck/pillow/dycheck_metrics_same_view.json,21.373218536376953,0.8004571199417114,80.04571199417114,0.18264706432819366,,,,,,
space-out,ok,held_out_novel_view,both,1 2,out/dycheck/space-out/dycheck_metrics_both.json,8.718107223510742,0.32264120876789093,32.26412087678909,0.6498952507972717,10.056412696838379,0.3498873859643936,34.98873859643936,0.6372473239898682,0.905051052570343,
spin,ok,held_out_novel_view,both,1 2,out/dycheck/spin/dycheck_metrics_both.json,8.328236103057861,0.1617816835641861,16.17816835641861,0.6304336488246918,9.329199314117432,0.17534762620925903,17.534762620925903,0.5936720669269562,0.8714615106582642,
sriracha-tree,ok,same_view_reconstruction,none,0,out/dycheck/sriracha-tree/dycheck_metrics_same_view.json,19.43759536743164,0.7033656239509583,70.33656239509583,0.3208537697792053,,,,,,
teddy,ok,held_out_novel_view,both,1 2,out/dycheck/teddy/dycheck_metrics_both.json,7.53818416595459,0.12242674082517624,12.242674082517624,0.7416651844978333,8.360159397125244,0.14921995252370834,14.921995252370834,0.7204526364803314,0.7913237512111664,
wheel,ok,held_out_novel_view,both,1,out/dycheck/wheel/dycheck_metrics_both.json,9.639566421508789,0.19100171327590942,19.100171327590942,0.6162810325622559,9.696382522583008,0.1952865719795227,19.52865719795227,0.6043416857719421,0.935103714466095,
